,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,X4-EMXS7-XJZ9tuVJhn0-g,lzQLHoJdaMNwiNt76wrc4g,4CxF8c3MB7VAdY8zFb2cZQ,2.0,5,2,3,"I am alway leery of places the trade on schtick. I should have known better, but on our recent trip to Portland, we decided to give the place a try.

Open 24 hours a day, there is always a line. We dutifully got in line which seemed to me should take about 20 min, given the fact that they are just handing you a product and there are multiple cashiers. Well, after an hour, we were finally inside the place. It is obviously garish with plenty of primary colors, goofiness, and double entendres. It is part of the whole schtick, so it's to be expected.

The displays showed their wide range of donuts which are designed to have visual wow factor, mainly via toppings like breakfast cereal or various icing patterns. We ordered four doughnuts to sample, one of which is their famed Bacon Maple Bar. The cashier was nice enough and we headed outdoors to picnic tables for sampling.

Boring. Or I should say: ordinary. We are basically talking Dunkin Donuts with ""unusual"" toppings and cute names. The Bacon Maple Bar is an ordinary maple bar with a couple of slices of decent bacon on it. I suppose since Dunkin Donuts has both maple bars and bacon slices you could probably bribe them to make you an equivalent for the $2.50 price tag.

The only donut that was in any way noteworthy was the Arnold Palmer, which was a cake doughnut with vanilla frosting and lemonade/iced tea powder. It was tasty enough.

The bottom line is go to Dunkin Donuts or any other decent local place and get doughnuts. Embellish them at home with bacon, cocoa puffs, or fruit loops and call it good. The schtick is simply not worth wasting an hour in Portland.",2011-08-24 21:59:48
1,o047kXCHybKL6vUYFcUOHg,YP5RiJiv0nOpyo0tHYkdwA,4CxF8c3MB7VAdY8zFb2cZQ,3.0,1,0,0,"Innovative types of donuts but a bit priceyy (~3 per donut) Moreover, I think they make a lot of donuts ahead of time to meet demand but I'm partial to warm donuts and I couldn't get one of those here..",2016-10-13 23:56:59
2,s4Bp1KcKqhDn832AUWa2kw,ezocVBopFJaUKU_zUFA-mA,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,0,0,"Voodoo definitely is something that is on your list for anyone visiting Portland, especially if you love doughnuts. At this location, be prepared to wait in line. On a Saturday morning, I waited maybe 15 minutes to get 6 doughnuts. Definitely try their Portland Cream and make sure you have cash handy as they do not accept card!",2017-07-28 17:47:48
3,c6ErpHoRzV8hsCqUuCQwTA,_rYQR4MSphfN3tIfpx4awA,4CxF8c3MB7VAdY8zFb2cZQ,2.0,3,3,2,"one word: HYPE.

Long line, which was to be expected so whatever. The employee's were super rude. But the worst part about my ""voodoo"" experience was that the bacon on my maple bar tasted old and funky. I dont even know how to describe it, but it was not good. (Im not picky either, usually bacon is bacon, but bleh!) Im not a fan of writting negative reviews but this place earned it.",2013-03-18 18:16:46
4,RTD6GH53L63gnUnConkarA,aUQ2KmEqDVuOCxww6vkYJA,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,0,0,"Good, solid donuts. My major qualm is that the gentleman helping us feigned using a tissue to pick up the donuts. Saw him then use his hands. Which then grabbed my money. Sure he did that before and after us. Why try to use a tissue at all at that point?",2018-01-21 07:07:04
5,B_nlrLWjj32oDkSQ90JD8Q,MPwgbCGeIFdpzvhScPE26A,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,0,0,Just your average donut. We came because we were visiting and had to check out the hype. The line took about 10-15 minutes. The ambiance was definitely Portland weird and it was a good stop to see what all the fuss was about. I wouldn't make it a must stop if I returned.,2016-09-18 16:19:14
6,iKHNCq1TbVbalqgmCgbemw,AR2V1Nl03AI8b4QaEmrSMQ,4CxF8c3MB7VAdY8zFb2cZQ,2.0,0,0,0,"Ok. Yes.... yes. Eating donuts that look like voodoo men, have cereal on them, or that has bacon on it is fun.... but really it's like eating a 5 year olds creation. It looks funny, it tastes... well alright. 

There are hundreds of better donut places. My work used to get these on a twice monthly basis, they never tasted good. I would have been happy with Safeway, Fred Meyer or other donuts... they taste the same. 

In my opinion: go once for the fun factor, and promptly look elsewhere.",2014-01-17 02:35:15
7,JcMwUGuw3v07noRVagkOSQ,EZYKWCv66RH9qJ4O3V5xGw,4CxF8c3MB7VAdY8zFb2cZQ,1.0,0,0,0,"Okay donuts. They claim their ""vegan"" donuts are vegan but i have a dairy allergy and their donut still made me sick.",2018-04-04 00:57:09
8,qfzCvVuGNarNFc1gYjLjKQ,Be3R1Hex7TFYQoa264h7tQ,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,0,0,"I was only in town for three days, and everyone was like ""YOU HAVE TO GET VOODOO DOUGHNUT"". Well, apparently everyone else's friends told them the same thing because the first time I went, the line was literally two blocks long. I would have felt like such a fat kid if I waited in a two-block line for a doughnut.

So then I tried to go after the bars, as I had heard Voodoo is 24 hours. It was closed. The universe did not want me to have these legendary doughnuts.

As I was leaving town I finally got one, but the selection was so overwhelming that I freaked out and just picked the first one that spun past me on that little rotating doughnut display, a Tang doughnut. It was unique, a little dry, nothing particularly special, but I'm glad I got to experience it, and wish I could go back to give it another try. I think it really does all just depend on what you get, so next time I'd spring for a dozen to sample a few more.",2010-07-07 16:57:28
9,2ZWc6-Fnc3qMT69VyHsLnA,GczwCAkW4WHFXgcqDoOduA,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,3,0,"Man, whatever. It's sweet and carbtastic and I'm stumbling out of the tube. Go time.",2010-03-13 01:21:05
10,hGNP6BbDfRvhYk9rpLhlnw,2ZAlhvNkj_owu6xZA8C7gQ,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,0,0,"Sadly overrated in my book. Nice staff and service though! We tried the Vicious Hibiscus, Blueberry Cake and one with oreos and caramel. Not bad, just didn't taste super fresh.",2017-10-02 02:09:55
11,dM_WP6-6riDq49ptT548-Q,vMuZsD1H9qf1DFVgw0Dy7g,4CxF8c3MB7VAdY8zFb2cZQ,2.0,0,0,0,"Just decorated ""weird"" or ""fun"" but the actual donut itself is NOT that great",2015-03-18 18:08:24
12,pWvCpWAdl-wPGMILqGIMRg,9gGh_jR3FtOuyBjohSKRNg,4CxF8c3MB7VAdY8zFb2cZQ,3.0,0,0,0,"They're good.  I've had better, but always fun to wait in line for Captain Crunch covered dough.",2015-06-21 01:07:37
13,qXeMKXChQzGTo7NVp9JEtg,6_bmaKlXSEvwwZTC8hWbeA,4CxF8c3MB7VAdY8zFb2cZQ,2.0,0,0,0,"Nothing special, in my opinion. You get to wait in line out onto the sidewalk for who knows how long, have to pay cash... don't get taken by surprise by that. One guy in line got all the way up there and then didn't have cash for his doughnuts (and God knows they are expensive). (I would have covered for him but I couldn't.) And I don't find them to be anything special, other than some funny frosting.

Anyway, what's all the excitement about? You shouldn't be eating doughnuts anyway....  ;-)",2018-10-04 16:05:10
