,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,de2fVUfTiLuWuRcfNrrHTg,7PHHxsjyk7I7oM6ENxwZZQ,4CxF8c3MB7VAdY8zFb2cZQ,5.0,2,2,1,"I'd been hearing about this place for forever, so when I was planning a trip to Portland, I knew I'd have to pop in and try them, overrated or not. So I did - popped in mid-day on Sunday, saw a line around the block, and said yeah, seriously, *screw* that. Definitely not worth it. 

Then we gave it another shot Monday mid-morning before we left for our flight back home, and there were only a few people in line - night and day different. So we grabbed a few things to take back with us, and they were all fantastic. We tried: a Mexican chocolate cake donut, which was glorious (pretty simple donut, but perfect consistency for a cake donut, tons of flavor, and the perfect amount of kick), a cream-filled donut (also the perfect consistency, not too oily like donuts of that sort often are, and in my opinion, a much creamier and less processed-tasting filling than is typical), the famous maple bacon bar (basically just a basic-but-excellent maple bar, with a couple slabs of bacon processed to be crumbly but still basically taste like bacon, which absolutely did add great flavor while still being surprisingly easy to eat without it falling apart), and an apple fritter (my wife insisted on that one - it was a great fritter, and giant, but I wouldn't get it again, being that it isn't a donut, and donuts are clearly their forte.)

I was expecting that such a famous tourist destination would've jacked up their prices sky-high, so I was very pleasantly surprised to discover that they're actually pretty reasonable. I mean, they're not *cheap*, but they're not crazy, either. I thought the prices were completely sane, and I would absolutely come back any time I was in Portland - but only if there *wasn't* a line out the door and around the block. They weren't *that* good. I'd totally wait a few minutes in line for them, though.",2018-03-23 14:17:26
1,c8m7iiUTpZ9g2Hs_plJlUQ,c0Wg7FzhocvNf2zUE9KZVw,4CxF8c3MB7VAdY8zFb2cZQ,5.0,0,1,0,Had to act like a tourist and stop by voodoo today before heading back to bend. Donuts were good my daughters face lit up when she saw the oreo donut. It was a good time,2018-10-04 11:17:16
2,SF906PKvK7sbgC8z1Vs-Aw,5WN55kArCZKt7LXnvde90A,4CxF8c3MB7VAdY8zFb2cZQ,5.0,1,0,0,"Fun store.  Cool ambience.  Weird.  We got cock and balls, very funny donut.  We also got the delicious Memphis Mafia!  Definitely worth visiting if you're in Portland",2011-08-24 21:49:28
3,Hk926IsjWrA6awac-W3HJw,dEtYQChLcKyUO2BjdO1hDg,4CxF8c3MB7VAdY8zFb2cZQ,5.0,2,3,2,"I think the people here are smoking something - and that's fine with me!

The fruit loop doughnut is my all time fav!  I know that people like the bacon one, but to me, thats just wrong. But please keep making the cereal ones!",2008-08-19 01:29:43
4,DEVNvpx7LLcsuDW_d77SfA,pfyWiasizyv30dEFWDlhLA,4CxF8c3MB7VAdY8zFb2cZQ,5.0,0,0,0,"""I got VD in Portland""

A. You had an interesting night and need to go to get that looked at.
B. You should ride your bike for 5 hours to work off that delicious frosting.
C. More than likely both as you stumble out of Old Town at some unholy hour of the morning.

Everything about this place is awesome.",2010-05-14 06:02:55
5,J2rFmAfug435onTIB9Q1pg,QpCLG8Ciuh0H3GzutpJtJQ,4CxF8c3MB7VAdY8zFb2cZQ,5.0,0,0,0,"NOM NOM NOM NOM

I'm a fan of the Voodoo Doll, ODB, and Bacon Maple.

Sure wish they would expand to Seattle.",2016-11-21 19:40:51
6,iAyjQGmy5p2avD6TZYWMEw,Sg_BvnTHsbc1AABiJjaiPA,4CxF8c3MB7VAdY8zFb2cZQ,5.0,2,0,1,"A Portland landmark fo sho. We landed in Portland on a rainy Thursday night, and after a late dinner, mustered the strength to walk through the Pearl to Voodoo. Well, guess what. There's no sign of that infamous long line when you go at 4am on a weeknight in the rain. We got to stand there and weigh our options, pick the cashier's brain on the pros and cons of certain flavors, AND when we finally decided on a few, they gave us a dozen. Because it was the time when they bake new ones for the day.

So we got to try just about everything on the menu. The elvis fritter was really good, so I imagine all the fritters are delish. The maple bacon is amazing, ""tastes like breakfast,"" I said. Then I was like ew this is so many donuts (which I don't even really like) and just ate all the rest of the bacon. MMMM BACON!

Extra star for the lovely voodoo/donut artwork.",2013-10-03 08:06:58
7,NHX3n_zqwASh45HCYaWOrg,jAVwccxb6jklkozr3aWxMw,4CxF8c3MB7VAdY8zFb2cZQ,5.0,2,0,1,A fabulous must see if you are in Portland.  I've seen the shop featured on shows but never thought I would actually get a chance to check it out.  I treated myself to a Homer Simpson donut that featured pink icing and little colored sprinkles. mmmm donut!,2016-05-19 05:58:34
8,GClV4EVUJIEkkTd2mX4UYA,JWEK6kv92PRqZeivHJvarA,4CxF8c3MB7VAdY8zFb2cZQ,5.0,0,0,0,"These guys are absolutely phenomenal. I brought my desktop in on Saturday and back on the internet by Wednesday afternoon the following week. They are great listeners and on the top of their field.

Without question or doubt, Justin and the 12:01 staff will see me again if a computer need arises. I couldn't ask for a friendlier and more competent group of people. 

My computer is now humming along beautifully. Thank you for your dedication and caring attitude. 

Jerry",2013-11-14 03:25:15
9,zCteuYVTeAj_ucgSe-cGqA,P_lkiaIYeD54glKh1UynOQ,4CxF8c3MB7VAdY8zFb2cZQ,5.0,2,0,0,"Loved it! Great creative and inventive donuts, fair prices and more than friendly staff!",2017-02-09 06:52:58
