business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,Tuesday,Wednesday,Thursday,Friday,Saturday,hours,Monday,Sunday,RestaurantsDelivery,BusinessAcceptsCreditCards,RestaurantsPriceRange2,DogsAllowed,NoiseLevel,RestaurantsTakeOut,Caters,BikeParking,attributes,HappyHour,WheelchairAccessible,OutdoorSeating,RestaurantsGoodForGroups,Alcohol,RestaurantsReservations,GoodForKids,HasTV,RestaurantsAttire,DriveThru,WiFi,ByAppointmentOnly,BusinessAcceptsBitcoin,RestaurantsTableService,Corkage,BYOBCorkage,Smoking,CoatCheck,GoodForDancing,BYOB,AcceptsInsurance,Open24Hours,garage,street,validated,lot,valet,BusinessParking,Ambience,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual,Music,dj,background_music,no_music,jukebox,live,video,karaoke,GoodForMeal,dessert,latenight,lunch,dinner,brunch,breakfast,BestNights,monday,tuesday,friday,wednesday,thursday,sunday,saturday,DietaryRestrictions,dairy-free,gluten-free,vegan,kosher,halal,soy-free,vegetarian
ufCxltuh56FF4-ZFZ6cVhg,Sister Honey's,247 E Michigan St,Orlando,FL,32806,28.5132647,-81.3747072,4.5,135,1,"Restaurants, American (New), Bakeries, Desserts, Food, Cupcakes",11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,1,,,False,True,1,False,u'quiet',True,True,True,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
BFd5KnVmxkFH3WjbydJI3Q,Sam's Club,355 State Rd 436,Fern Park,FL,32730,28.6556946543,-81.3372572944,3.0,21,0,"Convenience Stores, Bakeries, Food, Grocery",,,,,,0,,,,True,2,,,True,False,True,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
Q2vefh0tGhtCGQDK1FI7cw,Piece of Cake,3215 Roswell Rd NE,Atlanta,GA,30305,33.8428749,-84.3785385,4.0,231,1,"Restaurants, Patisserie/Cake Shop, Desserts, Food, Cupcakes, Bakeries",10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,1,0:0-0:0,12:0-17:0,True,True,2,,,True,True,True,1,False,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
9UbSRTD_Ly2AlJ1hjEt4TA,Uncle Tetsu's Japanese Cheesecake,1151 Robson Street,Vancouver,BC,V6E 1B5,49.2854643,-123.1259386,4.0,5,1,"Desserts, Bakeries, Food",10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,1,10:0-20:0,10:0-20:0,True,,,False,,True,,False,1,,True,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
bBNCUzEJZn8ASQ5LNWOHEg,Panera Bread,1334 Park St,Stoughton,MA,02072,42.1018007,-71.0665358,2.5,55,1,"Restaurants, Sandwiches, Breakfast & Brunch, Bagels, Soup, Bakeries, Food, Salad",6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,7:0-21:0,1,6:0-21:0,7:0-21:0,True,True,2,,u'average',True,True,True,1,,,True,True,'none',False,True,True,'casual',True,'free',,,,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
1bGOJiroc8fvVJRxKMAjBg,Safeway,221 NE 122nd Ave,Portland,OR,97230,45.524464,-122.538443,2.0,33,0,"Food, Grocery, Bakeries, Shopping, Drugstores",,,,,,0,,,True,True,2,,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
88VLUjOxXyayaaSFS_K4Dw,Ossorio,316 Brevard Ave,Cocoa,FL,32922,28.3547972,-80.7259893,4.5,219,1,"Coffee & Tea, Bakeries, Breakfast & Brunch, Food, Restaurants",8:0-20:30,8:0-20:30,8:0-20:30,8:0-20:30,8:0-20:30,1,8:0-20:30,9:0-18:0,True,True,2,,u'average',True,True,True,1,,,True,True,'beer_and_wine',False,True,True,'casual',,u'free',False,False,,,,,,,,,,False,True,False,False,False,1,1,False,False,False,False,False,False,False,False,True,0,,,,,,,,1,False,False,True,False,True,True,0,,,,,,,,0,,,,,,,
FbgoSueitrozGXzjEX_u4Q,Modern Pastry,20 Salem St,Medford,MA,02155,42.418549,-71.108928,4.0,170,1,"Bakeries, Food",9:0-17:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,1,9:0-17:0,9:0-14:0,True,False,2,,,True,True,True,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
RkQr7J48WkYqfLGwflGbTg,DB Dessert Company,6824 NE Glisan St,Portland,OR,97213,45.5263002,-122.5928822,4.5,14,1,"Bakeries, Custom Cakes, Desserts, Food",11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,9:0-15:0,1,,,None,,,,,None,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
g339Vo2-EsVjbK__iglY6A,Sweet Masterpiece,616 Main St,Oregon City,OR,97045,45.3574199,-122.6087036,4.5,54,1,"Food, Wine Bars, Bars, Bakeries, Desserts, Nightlife, Specialty Food, Chocolatiers & Shops",12:0-19:0,12:0-19:0,12:0-17:0,12:0-21:0,12:0-21:0,1,,12:0-19:0,True,True,2,False,,True,True,False,1,,True,,,,,,,,,,,False,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
ZQ02hYhOhQssZF5wHlaRGw,Creature Comforts,Walt Disney World Resort,Lake Buena Vista,FL,32830,28.3576468745,-81.5917256447,4.0,30,1,"Bakeries, Coffee & Tea, Shopping, Food",,,,,,0,,,False,True,1,,,True,False,False,1,,,True,,,,,,,,u'free',,,,,,,,,,,,False,False,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
fRi0NgK65Inn8x9Pak9yMg,Spicy Cup Cafe & Bakery,1977 Dublin Granville Rd,Columbus,OH,43229,40.0858653,-82.9649575,4.0,30,1,"Coffee & Tea, Mexican, Restaurants, Food, Bakeries",6:0-21:30,6:0-21:30,6:0-21:30,6:0-21:30,6:0-21:30,1,6:0-21:30,7:0-21:30,False,True,1,,u'quiet',True,True,True,1,False,True,False,True,u'none',False,True,True,u'casual',,u'free',,,True,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,True,False,False,False,True,True,0,,,,,,,,0,,,,,,,
P-5Ze1LN_KqrWBhha-kJTA,Fresh Start Cafe and Bakery,24 N Sandusky St,Delaware,OH,43015,40.2994699,-83.0674219,4.5,40,1,"Event Planning & Services, Cafes, Food, Bakeries, Caterers, Desserts, Coffee & Tea, Restaurants, Sandwiches",7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,1,0:0-0:0,7:0-14:0,False,True,2,False,,True,True,False,1,False,True,True,True,'none',False,True,False,'casual',,u'free',,False,False,,,,,,,,,False,True,False,True,False,1,1,False,False,False,False,False,False,False,False,True,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
hFInClJns9HoGiB-eq-xtg,Nana's Tiny Cakes,"9014 NE St Johns Rd, Ste 102",Vancouver,WA,98665,45.687567,-122.624572,4.5,55,1,"Food, Cupcakes, Event Planning & Services, Bakeries, Desserts, Custom Cakes, Caterers",10:0-17:30,10:0-17:30,10:0-17:30,10:0-17:30,,1,,,True,True,2,False,,True,True,False,1,,True,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
ryXq_-3CVN343v5t0w6PaQ,Marie Callender's Restaurant,5601 Brodie Lane,Sunset Valley,TX,78745,30.2251915,-97.8213415,3.0,13,0,"Food, Restaurants, Bakeries",,,,,,0,,,,True,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
rqbUAI4JfxceQRBMDrxCdw,Padaria Brazil,125 Harvard Ave,Allston,MA,02134,42.3522867,-71.1321838,4.0,62,0,"Restaurants, Sandwiches, Custom Cakes, Cafes, Food, Bakeries",6:0-19:30,6:0-19:30,6:0-19:30,6:0-19:30,6:0-19:30,1,6:0-19:30,6:0-14:30,True,True,1,,,True,,False,1,,,,,,False,,,,,u'no',,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
jkifQj4LWoLRm05_G4wkng,H-E-B,1801 E 51st St,Austin,TX,78723,30.3010001367,-97.6986417778,3.5,168,1,"Food, Bakeries, Health & Medical, Grocery, Pharmacy",6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,1,6:0-23:0,6:0-23:0,True,True,2,,,True,True,True,1,,,,,,,,,,,,False,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
9H0qPMmkJnK0m22rJa_AZg,Snowbear Bakery,135-4200 No 3 Road,Richmond,BC,V6X 2C2,49.210252,-123.140755,3.5,9,1,"Restaurants, Food, Chinese, Bakeries",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,1,10:0-18:0,10:0-18:0,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
AFhbVnKpqV4CZYkM3hfEIQ,Tiff's Treats,1235 E 51st St,Austin,TX,78723,30.3072825431,-97.7069347793,4.5,22,1,"Food, Food Delivery Services, Desserts, Ice Cream & Frozen Yogurt, Bakeries",9:0-22:0,9:0-20:0,9:0-20:0,12:0-22:0,10:0-22:0,1,0:0-0:0,10:0-22:0,True,True,1,,,True,True,False,1,,True,,,,,,,,,'no',,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
VpDVMno9lQFT9fmz2pWMjQ,Wildflower Baking,1639 NW Glisan St,Portland,OR,97209,45.5265522,-122.688183,4.5,6,1,"Desserts, Food, American (New), Restaurants, Bakeries, Breakfast & Brunch",,,,,9:0-13:0,1,,9:0-13:0,True,,,,,True,,,1,,,,,,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
rZ5me9UfAgY7jDcpLgQf8w,Donna's Donuts,2106 Main St,Tewksbury,MA,01876,42.5862169,-71.1987621,4.0,148,1,"Food, Bakeries, Restaurants",,,,,,0,,,False,True,1,False,u'average',True,,True,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
ctOnG5rGQOc-J6Lry29mcg,The Pie Hole,7832 6th Street,Burnaby,BC,V3N 3N2,49.220151,-122.928525,4.0,36,1,"Coffee & Tea, Food, Desserts, Bakeries",12:0-18:0,12:0-18:0,12:0-18:0,12:0-18:0,12:0-18:0,1,12:0-18:0,12:0-18:0,True,,2,False,,True,,,1,,False,False,,,,,,,,u'no',,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
