stars,BusinessAcceptsCreditCards,RestaurantsPriceRange2,NoiseLevel,RestaurantsGoodForGroups,Alcohol,GoodForKids,HasTV,WiFi,street,garage,Music,valet,dinner,BestNights
4.5,True,1.0,'quiet',None,None,None,None,None,False,False,0,False,None,0
3.0,True,2.0,None,None,None,None,None,None,False,False,0,False,None,0
4.0,True,2.0,None,None,None,None,None,None,False,False,0,False,None,0
4.0,None,None,None,None,None,None,None,None,True,False,0,False,None,0
2.5,True,2.0,'average',True,'none',True,True,'free',False,False,0,False,None,0
2.0,True,2.0,None,None,None,None,None,None,False,False,0,False,None,0
4.5,True,2.0,'average',True,'beer_and_wine',True,True,'free',True,False,0,False,False,0
4.0,False,2.0,None,None,None,None,None,None,True,False,0,False,None,0
4.5,None,None,None,None,None,None,None,None,None,None,0,None,None,0
4.5,True,2.0,None,None,None,None,None,None,True,False,0,False,None,0
4.0,True,1.0,None,None,None,None,None,'free',False,False,0,False,None,0
4.0,True,1.0,'quiet',True,'none',True,True,'free',False,False,0,False,False,0
4.5,True,2.0,None,True,'none',True,False,'free',True,False,0,False,False,0
4.5,True,2.0,None,None,None,None,None,None,False,False,0,False,None,0
3.0,True,2.0,None,None,None,None,None,None,False,False,0,False,None,0
4.0,True,1.0,None,None,None,None,None,'no',True,False,0,False,None,0
3.5,True,2.0,None,None,None,None,None,None,False,False,0,False,None,0
3.5,None,2.0,None,None,None,None,None,None,False,False,0,False,None,0
4.5,True,1.0,None,None,None,None,None,'no',False,False,0,False,None,0
4.5,None,None,None,None,None,None,None,None,None,None,0,None,None,0
4.0,True,1.0,'average',None,None,None,None,None,False,False,0,False,None,0
4.0,None,2.0,None,None,None,None,None,'no',False,False,0,False,None,0
4.0,None,2.0,None,None,None,None,None,None,True,False,0,False,None,0
4.0,True,3.0,None,None,None,None,None,None,True,False,0,False,None,0
3.5,True,1.0,None,None,None,None,None,None,False,False,0,False,None,0
4.5,True,2.0,'quiet',False,'none',True,True,'no',True,False,0,False,False,0
4.0,None,None,None,None,None,None,None,None,None,None,0,None,None,0
4.5,True,2.0,None,None,None,None,None,None,True,True,0,False,None,0
4.0,True,1.0,None,None,None,None,None,None,False,False,0,False,None,0
